UID,Linked Thought,Theme,Friction,Insight,Next Move,Prompt,Summary,Delivery Sent?,Project UID,Project Manager,Created Time,Weekly Digest
DS-recjKLKc6hUDK7qzH,,string,string,string,string,string,string,,,,5/12/2025 12:08am,
DS-recP46oeBOkUjf90g,,string,string,string,string,string,string,,,,5/12/2025 12:10am,
DS-recsTLJ8OPkB6Ptt7,TL-recjTr9Cv48SfcYkS,Exploring ways to provide Cole with more structure,Difficulty translating structure from basketball court to other areas,[UNKNOWN],Identify other environments similar to basketball where structure can be applied,What elements of structure from basketball can be translated into other aspects of Cole's life?,,,,,5/20/2025 2:23pm,
DS-recIoJLCFQbsxhjLP,"TL-recD6CEdPjGiGkRUS,TL-recVeVB9UeQ7hivCy",Concurrent development of multiple business verticals,Difficulty in managing and building out multiple verticals concurrently,Need for strategic planning and delegation to effectively manage multiple verticals,Schedule a meeting with key stakeholders to discuss strategic planning and delegation,How can I better delegate tasks and manage my time to effectively run multiple verticals?,,,,,5/20/2025 2:23pm,
DS-recx2dE5NRcQXWQzj,"TL-recEHBDQxoR4nN3AP,TL-recfBuJno96y4oElh",[UNKNOWN],Inconsistency in using the system,The need for a more consistent use of the system,Start using the system consistently next week,What steps can you take to ensure you use the system more consistently?,,,,,5/20/2025 2:25pm,
DS-recDuWq0lPbrRiuyL,"TL-reca9uv2MQ7J5DKrY,TL-recdhuWMQUjDkBYH0",Understanding the value of patience and precision,Difficulty in teaching precision and patience to a child,"The importance of precision in various aspects of life, learned from high school shop class",Explain the concept of the leveler and the importance of precision to Cole,How can I make the lesson of precision and patience more understandable and enjoyable for Cole?,,,,,5/20/2025 2:25pm,
DS-recrxGNYmrygD5XC4,"TL-recm6HMGGliYPmfyT,TL-rec5n9GpdabdOEL7S",Managing emotional challenges in the morning,"Difficulty in dealing with heightened emotions, particularly in the morning",[UNKNOWN],Seek strategies for better handling and understanding of morning emotions,What might be the underlying cause of these morning emotional surges and how can they be managed more effectively?,,,,,5/20/2025 2:25pm,
DS-recF5z2TVjgu7Q5BS,,Organizing a developmental league,"Uncertainty about structure, resources, and personnel",[UNKNOWN],Contact Fratto again to discuss and plan the next steps for the league,What specific resources and personnel do you need to make this league a success?,,,,,5/20/2025 2:42pm,
DS-recc9O70rG3tUBDP1,,Organizing a potential league with a focus on development,"Uncertainty about the structure, resources, and next steps for the league",[UNKNOWN],Call Fratto back to discuss and plan the next steps for the league,What specific resources and structures need to be in place for the league to be successful?,,,,,5/20/2025 2:42pm,
DS-recHt3Ia5iD5CSeDZ,,Organizing a potential developmental league,"Uncertainty about structure, player needs, and official requirements",The importance of games in shaping the structure of the league,Discuss next steps with Fratto and outline a preliminary structure for the league,What are the key elements required to successfully organize this league?,,,,,5/20/2025 2:42pm,
DS-receUxrwcZ0WmdYes,TL-recsMV8At9a2bdhkM,Planning for the potential league,Lack of clarity on the structure and resources required for the league,[UNKNOWN],Call Fratto to discuss and outline the next steps for the league,What specific resources and structure do we need to successfully run the league?,,,,,5/20/2025 2:42pm,
DS-reckeeCqTqRlmx3Fi,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-recVMBZE3E6XHjIPl,,control,control,control,control,control,,,,,5/20/2025 2:46pm,
DS-recYEAnFAot9hgOub,,action,action,action,action,action,,,,,5/20/2025 2:46pm,
DS-rec2VkWLDLGTUusaE,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-recUtyN68lut2crJc,,control,control,control,control,control,,,,,5/20/2025 2:46pm,
DS-recxD0iUq46OkyfIE,,identity,identity,identity,identity,identity,,,,,5/20/2025 2:46pm,
DS-rec2ltHtgfuXfwlt5,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-recuQnOdnDyyDxZfu,,control,control,control,control,control,,,,,5/20/2025 2:46pm,
DS-recg8xvcDgQwkCgvw,,action,action,action,action,action,,,,,5/20/2025 2:46pm,
DS-rechyto8Cn5kdlh2j,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-recYbSKDPiMBPrGil,,control,control,control,control,control,,,,,5/20/2025 2:46pm,
DS-recwltoh9ZTMTZnzk,,action,action,action,action,action,,,,,5/20/2025 2:46pm,
DS-recU8CW6NEIgGP3AC,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-recQUrRML8HLzTQFy,,connection,connection,connection,connection,connection,,,,,5/20/2025 2:46pm,
DS-recvonrcitigEfvvb,,control,control,control,control,control,,,,,5/20/2025 2:46pm,
DS-rec5EheeYtM157JkS,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-rech341e6v8xyFxBF,,control,control,control,control,control,,,,,5/20/2025 2:46pm,
DS-recwi0GZ1gvPGGFbC,,action,action,action,action,action,,,,,5/20/2025 2:46pm,
DS-reckhHmZF6l3aKjWe,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-rec5hwSJC5B6HMn8E,,control,control,control,control,control,,,,,5/20/2025 2:46pm,
DS-recx6QTJwD3GAZV8C,,action,action,action,action,action,,,,,5/20/2025 2:46pm,
DS-recBWq1y28hSKeFEN,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-recxoTeJ0t1fxUeKS,,control,control,control,control,control,,,,,5/20/2025 2:46pm,
DS-recum5gJoenuq6QUq,,identity,identity,identity,identity,identity,,,,,5/20/2025 2:46pm,
DS-recacl0w5ie9zMSCU,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:46pm,
DS-recewNG2QoZOron01,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recguyzUOxJRiZix6,,action,action,action,action,action,,,,,5/20/2025 2:47pm,
DS-recUdmaLQPDAdQHWs,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recAb7eIVQztuhXOA,,connection,connection,connection,connection,connection,,,,,5/20/2025 2:47pm,
DS-reckqqUCCUhY2RjhK,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-rec36cuPZCYUZkiHb,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-rec0ZWVwDdqjf2q8C,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recKqtxRgKcdTk5bb,,action,action,action,action,action,,,,,5/20/2025 2:47pm,
DS-rec1lSZ66k2xFV3Np,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recgso2wtliMS0WNB,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recORObquX8f2PMNZ,,connection,connection,connection,connection,connection,,,,,5/20/2025 2:47pm,
DS-recDdphtWHB8cl1Fj,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recDv73yartsxo3tz,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recW35qkIDMQ1AcAh,,action,action,action,action,action,,,,,5/20/2025 2:47pm,
DS-recgdU4hRM6vkEt3I,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recXMQ5acsjdijm8c,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recbOXLxmV9MqXBMr,,adjusting,adjusting,adjusting,adjusting,adjusting,,,,,5/20/2025 2:47pm,
DS-recqlngfEk5jXT5MR,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-rec1KCrupN9f7Hgir,,connection,connection,connection,connection,connection,,,,,5/20/2025 2:47pm,
DS-recTii4zmYIKRGpSp,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recMOYe0TLWczPfXw,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recUxBXYVFy6VqDd2,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recEKtAF6940neP5r,,action,action,action,action,action,,,,,5/20/2025 2:47pm,
DS-recC7WxMZq2yJQARO,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-rec2ZDljWT45jDD4a,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recVZR78WvYL8zxPU,,awareness,awareness,awareness,awareness,awareness,,,,,5/20/2025 2:47pm,
DS-recU8XdHF0IoS41QC,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recOH2VtulZNBfyQN,,balance,balance,balance,balance,balance,,,,,5/20/2025 2:47pm,
DS-recwAy2FWqsVbVqUg,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recyWTn10dFdHDE3g,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recfFOEBSggbDjbWE,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recrrvX14ICqlgpVU,,action,action,action,action,action,,,,,5/20/2025 2:47pm,
DS-recs1bpyLjUJ4ZNbc,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-reciTjXhiGJknIxlB,,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recfU3cbrh2BFZN3o,,identity,identity,identity,identity,identity,,,,,5/20/2025 2:47pm,
DS-recoRMDUNUlfqVFLg,,doubt,doubt,doubt,doubt,doubt,,,,,5/20/2025 2:47pm,
DS-recXdO5NMuiskN6ZF,,connection,connection,connection,connection,connection,,,,,5/20/2025 2:47pm,
DS-recGdHLcP98PkgPYM,TL-recidUU6qbhtaJ3Lu,control,control,control,control,control,,,,,5/20/2025 2:47pm,
DS-recSZihSMttHZvs5w,TL-recQMortVoXpNJyzi,fatherhood,fatherhood,fatherhood,fatherhood,fatherhood,,,,,5/20/2025 2:47pm,
DS-recvI5dMHDFAMfwzV,,control,control,control,control,control,,,,,5/20/2025 2:47pm,